model,seed,Avg7_Event_Acc,Avg7_Event_Macro_F1,S6_Event_Acc,S6_Event_Macro_F1
1D-CNN,42,72.38,72.58,66.67,66.6
1D-CNN,43,71.9,72.06,66.67,66.35
1D-CNN,44,73.33,73.55,70.0,69.78
1D-CNN,45,71.43,72.04,66.67,67.12
1D-CNN,46,73.81,73.73,70.0,70.37
1D-CNN,47,71.43,71.91,66.67,67.78
1D-CNN,48,72.86,72.82,66.67,66.35
1D-CNN,49,71.43,71.49,66.67,65.98
1D-CNN,50,70.0,70.63,63.33,64.11
1D-CNN,51,72.86,72.94,66.67,67.22
ResNet/TCN,42,75.71,76.07,70.0,71.07
ResNet/TCN,43,74.76,75.34,70.0,70.97
ResNet/TCN,44,76.67,76.95,73.33,73.8
ResNet/TCN,45,74.29,74.26,70.0,68.92
ResNet/TCN,46,76.67,76.86,73.33,73.33
ResNet/TCN,47,75.24,75.56,70.0,69.62
ResNet/TCN,48,75.71,76.06,70.0,70.63
ResNet/TCN,49,74.76,75.27,70.0,70.0
ResNet/TCN,50,73.33,73.59,66.67,66.82
ResNet/TCN,51,76.19,76.7,70.0,70.02
Transformer,42,79.05,79.31,73.33,73.92
Transformer,43,77.62,78.15,73.33,74.1
Transformer,44,80.0,80.45,76.67,77.59
Transformer,45,77.62,78.07,73.33,73.37
Transformer,46,80.0,80.23,76.67,76.77
Transformer,47,78.57,78.72,73.33,72.8
Transformer,48,79.05,79.05,73.33,73.92
Transformer,49,78.1,78.53,73.33,73.33
Transformer,50,76.67,77.11,70.0,70.1
Transformer,51,79.52,79.9,73.33,74.22
MCNN-BiLSTM,42,82.38,82.71,76.67,76.72
MCNN-BiLSTM,43,80.95,81.04,76.67,77.03
MCNN-BiLSTM,44,83.33,83.31,80.0,79.87
MCNN-BiLSTM,45,80.95,81.34,76.67,76.28
MCNN-BiLSTM,46,83.33,83.62,80.0,79.9
MCNN-BiLSTM,47,81.9,82.23,76.67,76.16
MCNN-BiLSTM,48,82.38,82.27,76.67,76.8
MCNN-BiLSTM,49,81.43,81.33,76.67,77.0
MCNN-BiLSTM,50,80.0,80.43,73.33,73.82
MCNN-BiLSTM,51,82.86,83.27,76.67,77.59
TFFNet-style,42,85.71,85.91,80.0,80.68
TFFNet-style,43,84.29,84.61,80.0,80.11
TFFNet-style,44,86.67,86.75,83.33,83.71
TFFNet-style,45,84.29,84.5,80.0,79.79
TFFNet-style,46,86.67,86.9,83.33,84.13
TFFNet-style,47,85.24,85.53,80.0,80.68
TFFNet-style,48,85.71,85.69,80.0,78.89
TFFNet-style,49,84.76,84.86,80.0,80.13
TFFNet-style,50,83.33,83.41,76.67,76.85
TFFNet-style,51,86.19,86.25,80.0,80.12
HMBCNN-style,42,88.57,88.67,83.33,84.04
HMBCNN-style,43,88.1,88.38,83.33,83.3
HMBCNN-style,44,88.1,88.17,86.67,86.57
HMBCNN-style,45,87.14,87.35,83.33,84.13
HMBCNN-style,46,87.14,87.17,83.33,83.33
HMBCNN-style,47,86.67,86.95,80.0,80.91
HMBCNN-style,48,86.67,87.05,83.33,83.97
HMBCNN-style,49,87.14,87.12,83.33,83.31
HMBCNN-style,50,85.24,85.53,80.0,80.42
HMBCNN-style,51,88.1,88.12,83.33,83.97
Plain Mamba,42,89.05,89.09,83.33,83.41
Plain Mamba,43,87.62,87.79,83.33,83.57
Plain Mamba,44,89.52,89.49,86.67,87.22
Plain Mamba,45,87.14,87.28,83.33,83.59
Plain Mamba,46,89.52,89.83,86.67,87.27
Plain Mamba,47,88.1,88.28,83.33,83.9
Plain Mamba,48,88.1,88.22,83.33,84.13
Plain Mamba,49,87.62,87.81,83.33,83.97
Plain Mamba,50,86.19,86.17,80.0,78.67
Plain Mamba,51,89.05,88.96,83.33,83.61
Bi-Mamba,42,90.95,91.04,86.67,86.64
Bi-Mamba,43,90.0,89.87,86.67,86.6
Bi-Mamba,44,90.48,90.62,90.0,90.34
Bi-Mamba,45,89.52,89.61,86.67,86.6
Bi-Mamba,46,90.0,90.4,86.67,86.9
Bi-Mamba,47,89.05,89.3,83.33,83.97
Bi-Mamba,48,89.52,89.52,86.67,86.92
Bi-Mamba,49,89.52,89.64,86.67,86.49
Bi-Mamba,50,87.62,87.8,83.33,83.13
Bi-Mamba,51,90.48,90.47,86.67,86.6
RAAF-BiPAC-Mamba,42,94.29,94.43,90.0,90.39
RAAF-BiPAC-Mamba,43,92.86,93.05,90.0,90.15
RAAF-BiPAC-Mamba,44,94.29,94.33,93.33,93.46
RAAF-BiPAC-Mamba,45,92.86,93.02,90.0,90.39
RAAF-BiPAC-Mamba,46,93.81,93.8,93.33,93.42
RAAF-BiPAC-Mamba,47,93.33,93.46,90.0,90.0
RAAF-BiPAC-Mamba,48,93.33,93.43,90.0,89.95
RAAF-BiPAC-Mamba,49,93.33,93.56,90.0,90.39
RAAF-BiPAC-Mamba,50,92.38,92.57,86.67,87.22
RAAF-BiPAC-Mamba,51,93.81,93.88,90.0,90.0
