seed,model,Avg7_Event_Acc,Avg7_Event_Macro_F1,S6_Event_Acc,S6_Event_Macro_F1,Test_events_per_scenario,Event_overlap,Shared_split_hash
42,RAAF-BiPAC-Mamba,94.29,94.43,90.0,90.39,30,0/0/0,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
43,RAAF-BiPAC-Mamba,92.86,93.05,90.0,90.15,30,0/0/0,33ae0d43b916cca42e642a7defc4f91be638906cbe8dfe313c0cbca328e8f3ba
44,RAAF-BiPAC-Mamba,94.29,94.33,93.33,93.46,30,0/0/0,bb8720d09a47ae5c0fe6156b3cd6c98e3c2dd69538ac7654151880ce1d096e84
45,RAAF-BiPAC-Mamba,92.86,93.02,90.0,90.39,30,0/0/0,0d68ed4c7266207cb739b5c2d5ce92df953eb821f5798798286bb02e055cd76e
46,RAAF-BiPAC-Mamba,93.81,93.8,93.33,93.42,30,0/0/0,c473d378073da09b896f0d79373d641cb5c095e549c75deb5deff327a72f824b
47,RAAF-BiPAC-Mamba,93.33,93.46,90.0,90.0,30,0/0/0,0507e916682a28c556df24c635f66da390de2c9d3874a758a2e101bbe643fd30
48,RAAF-BiPAC-Mamba,93.33,93.43,90.0,89.95,30,0/0/0,c166eb435ba8670f9912e96d74e4d338bc819a2d9dde91674d8fef9d73df1618
49,RAAF-BiPAC-Mamba,93.33,93.56,90.0,90.39,30,0/0/0,3a3e9f656b77f11276dcc1327f0e4c5ed94a457d337bcb91293d5719ff021073
50,RAAF-BiPAC-Mamba,92.38,92.57,86.67,87.22,30,0/0/0,263437343183180ce3718c2b5bdbe0ee357b41ecfc345c3527aec0844d0ca9a8
51,RAAF-BiPAC-Mamba,93.81,93.88,90.0,90.0,30,0/0/0,ac60749e055833ae7017054e3435c666ff2278f04b6fb290278452b0c1da635c
42,Bi-Mamba,90.95,91.04,86.67,86.64,30,0/0/0,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
43,Bi-Mamba,90.0,89.87,86.67,86.6,30,0/0/0,33ae0d43b916cca42e642a7defc4f91be638906cbe8dfe313c0cbca328e8f3ba
44,Bi-Mamba,90.48,90.62,90.0,90.34,30,0/0/0,bb8720d09a47ae5c0fe6156b3cd6c98e3c2dd69538ac7654151880ce1d096e84
45,Bi-Mamba,89.52,89.61,86.67,86.6,30,0/0/0,0d68ed4c7266207cb739b5c2d5ce92df953eb821f5798798286bb02e055cd76e
46,Bi-Mamba,90.0,90.4,86.67,86.9,30,0/0/0,c473d378073da09b896f0d79373d641cb5c095e549c75deb5deff327a72f824b
47,Bi-Mamba,89.05,89.3,83.33,83.97,30,0/0/0,0507e916682a28c556df24c635f66da390de2c9d3874a758a2e101bbe643fd30
48,Bi-Mamba,89.52,89.52,86.67,86.92,30,0/0/0,c166eb435ba8670f9912e96d74e4d338bc819a2d9dde91674d8fef9d73df1618
49,Bi-Mamba,89.52,89.64,86.67,86.49,30,0/0/0,3a3e9f656b77f11276dcc1327f0e4c5ed94a457d337bcb91293d5719ff021073
50,Bi-Mamba,87.62,87.8,83.33,83.13,30,0/0/0,263437343183180ce3718c2b5bdbe0ee357b41ecfc345c3527aec0844d0ca9a8
51,Bi-Mamba,90.48,90.47,86.67,86.6,30,0/0/0,ac60749e055833ae7017054e3435c666ff2278f04b6fb290278452b0c1da635c
42,HMBCNN-style,88.57,88.67,83.33,84.04,30,0/0/0,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
43,HMBCNN-style,88.1,88.38,83.33,83.3,30,0/0/0,33ae0d43b916cca42e642a7defc4f91be638906cbe8dfe313c0cbca328e8f3ba
44,HMBCNN-style,88.1,88.17,86.67,86.57,30,0/0/0,bb8720d09a47ae5c0fe6156b3cd6c98e3c2dd69538ac7654151880ce1d096e84
45,HMBCNN-style,87.14,87.35,83.33,84.13,30,0/0/0,0d68ed4c7266207cb739b5c2d5ce92df953eb821f5798798286bb02e055cd76e
46,HMBCNN-style,87.14,87.17,83.33,83.33,30,0/0/0,c473d378073da09b896f0d79373d641cb5c095e549c75deb5deff327a72f824b
47,HMBCNN-style,86.67,86.95,80.0,80.91,30,0/0/0,0507e916682a28c556df24c635f66da390de2c9d3874a758a2e101bbe643fd30
48,HMBCNN-style,86.67,87.05,83.33,83.97,30,0/0/0,c166eb435ba8670f9912e96d74e4d338bc819a2d9dde91674d8fef9d73df1618
49,HMBCNN-style,87.14,87.12,83.33,83.31,30,0/0/0,3a3e9f656b77f11276dcc1327f0e4c5ed94a457d337bcb91293d5719ff021073
50,HMBCNN-style,85.24,85.53,80.0,80.42,30,0/0/0,263437343183180ce3718c2b5bdbe0ee357b41ecfc345c3527aec0844d0ca9a8
51,HMBCNN-style,88.1,88.12,83.33,83.97,30,0/0/0,ac60749e055833ae7017054e3435c666ff2278f04b6fb290278452b0c1da635c
